NUMBER	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS
*ʒaŋ² ʔ-way²/³	3PL	他们	817	THEY	other
*su¹	3SR (another)	其他人／别人			
	self	自己	1993	SELF	other
	another (thing)	另外	197	OTHER	other
*way³/²	POSS	的			
*ti¹/ci¹	this (1)	这 (个)	1214	THIS	other
*ti¹/ci¹	this (1)	这 (个)	1214	THIS	other
	this kind	这种			
	here (1)	这里	136	HERE	other
	that one	那个	78	THAT	other
*ʔ-nam¹/²	that (higher)	那 (上位)	78	THAT	other
*man²	that (lower)	那 (下位)	78	THAT	other
*jam¹/²	that (far)	那 (远位)	78	THAT	other
	there	那里	1937	THERE	other
*ʔ-ru² s-re³	in front	前面	1883	IN FRONT OF	other
*m-ba¹ & ʔ-ni¹	on the other side	对面	885	OPPOSITE	adjective
*C-ka² ~ C-kokL ʔ-nokL	behind	后面	1686	BEHIND	other
*C-kra¹	between	中间	689	BETWEEN	other
*b-way² & C-may²	left	左边	244	LEFT	adjective
s-ya¹/ŋma¹	right	右边	1019	RIGHT	adjective
	beside	旁边	1816	BESIDE	other
*pa²	side	边	682	SIDE	noun
*takH	upon	上面	1753	TOP	noun
*ʔokH/ok L	beneath	下面	1485	BELOW OR UNDER	other
*klo¹	inside	里面	1606	INSIDE	other
	outside	外面	762	OUTSIDE	other
	everywhere	到处	2999	EVERYWHERE	other
*ʔəsu¹	who?	谁?	1235	WHO	other
*ʔəje² & *ʔəpa¹ & *ʔətapL	what?	什么?	1236	WHAT	other
*ʔəlam³	where?	哪里?	1237	WHERE	other
	why?	为什么?	1270	WHY	other
	which (one)?	哪 (一个)?	727	WHICH	other
{'ADV/RELQ+choose' cf. 811}	how?	怎么?	1239	HOW	other
*ʔəC-mya¹	how much?	多少?	531	HOW MUCH	other
*m-butL& ʔəmay¹	now	现在	1376	NOW	other
	just now	刚才	84	JUST	other
	before (sequential)	先 (先去)	1882	BEFORE	other
	after	后 (后去)	1685	AFTER	other
	before (temporal)	以前	1882	BEFORE	other
	formerly	从前	2914	ONCE (IN THE PAST)	other
	already	已经	2576	ALREADY	other
	immediately	立刻	1963	IMMEDIATELY	other
	frequently	常常 (常常来)	1852	OFTEN	other
*ya³/yakL	slowly	慢慢 (慢慢走)	2165	SLOWLY	other
*mran¹ & *[hak˥]	quickly	快快 (快快走)	1631	FAST	adjective
	very	很 (很漂亮)	1311	VERY	other
	most	最 (最大)	1198	MANY	other
	all	都 (大家都来)	98	ALL	other
*m-gu³	again	再 (明天再来)	204	AGAIN	other
*m-day¹	really; certainly	一定 (我一定去)	509	CERTAIN	adjective
*ma²	not (NEG)	不 (他不来)	1240	NOT	other
*ta²	don't	别 (别去)	813	DO	verb
*m-dakL	each other	互相			
